county_name,coverage_estimate,location_count,population,>=18 Years,Non-Medical Setting,location_per_1000
Hampton,37.41428571428571,76.5,78053.5,35.62,41.9,0.9800969847604528
Hancock,42.66285714285714,370.0,33875.4,41.812,44.79,10.922380252336502
Hanover,51.142857142857146,138.0,110513.0,48.44,57.9,1.2487218698252696
Hanson,43.699999999999996,11.0,3443.0,44.72,41.150000000000006,3.1948881789137378
Haralson,40.971428571428575,46.0,30178.0,37.339999999999996,50.05,1.5242892173106235
Hardee,29.9,13.0,25528.0,28.1,37.1,0.5092447508617988
Hardeman,37.385714285714286,20.0,14530.0,34.88,43.65,1.3764624913971093
Hardin,42.39523809523809,151.0,40925.5,40.486666666666665,47.166666666666664,3.6896311590573116
Hardy,42.457142857142856,30.0,14249.0,42.160000000000004,43.2,2.1054109060284936
Harford,49.4,220.0,261059.0,48.08,52.7,0.8427213771599523
Harlan,40.49285714285714,20.0,14841.5,42.71,34.95,1.347572684701681
Harmon,41.128571428571426,7.0,2499.0,41.760000000000005,39.55,2.8011204481792715
Harnett,44.24285714285714,178.0,134718.0,44.06,44.7,1.321278522543387
Harney,41.642857142857146,16.0,7496.0,40.18,45.3,2.1344717182497335
Harper,40.871428571428574,2.0,4364.5,40.910000000000004,40.775000000000006,0.4582426394776034
Harris,41.285714285714285,3015.0,2380545.5,37.4,51.0,1.266516434993576
Harrison,42.301785714285714,382.0,54942.0,41.235,44.96875,6.952786574933566
Hart,38.44285714285714,64.0,22727.5,37.25,41.425,2.8159718402815974
Hartford,48.43333333333334,204.0,,46.775,51.75,
Hartley,40.357142857142854,11.0,5369.0,36.379999999999995,50.3,2.0487986589681504
Harvey,46.214285714285715,20.0,33959.0,46.82,44.7,0.5889454930946141
Haskell,37.923809523809524,12.0,6931.333333333333,37.17333333333333,39.800000000000004,1.731268635183226
Hawaii,39.65714285714286,109.0,202163.0,34.5,52.55,0.5391688884711842
Hawkins,42.17142857142857,109.0,57107.0,40.28,46.9,1.9086977078116518
Hays,41.628571428571426,260.0,245351.0,36.36,54.8,1.059706298323626
Haywood,42.68571428571429,117.0,39979.0,41.78,44.95,2.926536431626604
Heard,38.357142857142854,43.0,11489.0,35.48,45.55,3.742710418661328
Hempstead,38.614285714285714,28.0,20037.0,38.32000000000001,39.35,1.3974147826520935
Henderson,44.105714285714285,267.0,55617.0,43.032,46.79,4.800690436377367
Hendricks,45.357142857142854,244.0,175639.0,42.42,52.7,1.3892131018737295
Hendry,27.3,65.0,39902.0,25.95,32.7,1.6289910280186457
Hennepin,49.199999999999996,622.0,1270787.0,50.160000000000004,46.8,0.4894604681980536
Henrico,50.6,349.0,333120.0,46.739999999999995,60.25,1.0476705091258405
Henry,42.12428571428571,535.0,52510.2,40.894,45.2,10.188496711115175
Herkimer,42.0,115.0,60293.0,40.519999999999996,45.7,1.9073524289718542
Hernando,38.18,157.0,196621.0,35.55,48.7,0.798490496945901
Hertford,40.18571428571429,18.0,21633.0,41.06,38.0,0.8320621273055056
Hickman,41.114285714285714,56.0,14743.5,40.25,43.275,3.798283989554719
Hidalgo,36.69285714285714,419.0,438663.5,34.22,42.875,0.9551740685058137
Highland,45.65714285714286,40.0,22766.0,44.61,48.275,1.7570060616709127
Highlands,38.32,85.0,102339.0,37.025,43.5,0.8305728998719941
Hill,40.0,12.0,26188.0,38.35,44.125,0.45822514128608527
Hillsborough,42.800000000000004,1193.0,945646.5,41.611111111111114,46.36666666666667,1.2615707878155313
Hillsdale,42.32857142857143,23.0,45698.0,41.82,43.599999999999994,0.5033043021576437
Hinds,39.471428571428575,176.0,226541.0,36.660000000000004,46.5,0.7769013114623843
Hinsdale,50.34285714285714,12.0,911.0,50.58,49.75,13.172338090010976
Hitchcock,41.642857142857146,6.0,2620.0,42.739999999999995,38.9,2.290076335877863
Hocking,40.285714285714285,67.0,28104.0,40.32,40.2,2.384002277255907
Hockley,36.357142857142854,57.0,21495.0,32.64,45.65,2.6517794836008375
Hodgeman,43.957142857142856,14.0,1770.0,44.86,41.7,7.909604519774011
Hoke,41.74285714285714,116.0,52612.0,40.8,44.1,2.2048201931118374
Holmes,32.03157894736842,19.0,26883.333333333332,31.092857142857145,34.660000000000004,0.7067575945443274
Honolulu,45.57142857142857,421.0,1010100.0,45.44,45.900000000000006,0.4167904167904168
Hood,45.728571428571435,59.5,43212.0,41.92,55.25,1.376932333611034
Hopkins,39.80714285714286,64.0,41115.5,37.13,46.5,1.556590580194817
Horry,45.4,298.0,356578.0,40.6,57.4,0.8357217775633943
Houghton,42.199999999999996,11.0,37414.0,42.760000000000005,40.8,0.2940075907414337
Houston,41.22857142857143,249.0,64068.6,40.216,43.760000000000005,3.886459201543346
Howard,43.518367346938774,492.0,69832.42857142857,42.645714285714284,45.699999999999996,7.045437342863631
Howell,38.98571428571428,29.0,39960.0,36.62,44.9,0.7257257257257257
Hubbard,45.48571428571428,36.0,21479.0,46.660000000000004,42.55,1.676055682294334
Hudson,41.483333333333334,163.0,712029.0,39.325,45.8,0.22892326014811196
Hudspeth,30.642857142857142,40.0,3329.0,27.880000000000003,37.55,12.015620306398318
Hughes,41.550000000000004,17.0,15610.5,42.230000000000004,39.85,1.0890106018385062
Humboldt,41.319047619047616,98.0,54334.666666666664,39.63333333333333,45.53333333333333,1.8036367205712744
Humphreys,36.207142857142856,26.0,13388.0,35.83,37.15,1.9420376456528234
Hunt,39.57142857142857,69.0,101596.0,35.88,48.8,0.6791605968738927
Hunterdon,49.36666666666667,63.0,129099.0,49.825,48.45,0.4879975832500639
Huntingdon,43.94285714285714,35.0,44123.0,43.06,46.150000000000006,0.7932370872334157
Huntington,42.15714285714286,38.0,36699.0,39.720000000000006,48.25,1.035450557235892
Huron,42.364285714285714,56.0,44989.5,41.05,45.65,1.244734882583714
Hutchinson,42.9,24.0,13998.0,41.8,45.65,1.7145306472353192
Hyde,43.75,5.0,2977.5,45.15,40.25,1.6792611251049538
Imperial,32.07142857142857,103.0,179578.0,32.5,31.0,0.5735669179966366
Independence,41.957142857142856,25.0,37910.0,42.019999999999996,41.8,0.6594566077552098
Indiana,42.18571428571429,62.0,83394.0,42.019999999999996,42.6,0.7434587620212485
Ingham,45.114285714285714,238.0,282540.0,43.8,48.4,0.8423586040914561
Inyo,42.785714285714285,15.0,18829.0,44.06,39.6,0.7966434754899357
